feature,importance
formation_Unknown,0.322968390471117
formation_left,0.1305080738448021
formation_right,0.11423368221426172
down,0.0675504417257485
ydstogo,0.05017044111011297
shotgun,0.04107928356964481
formation_middle,0.03724826439728992
yardline_100,0.0356486432413176
game_seconds_remaining,0.03534264235366699
score_differential,0.029908521783097376
quarter,0.01015724823866735
motion,0.009599298223589174
"defense_personnel_3 DL, 4 LB, 4 DB",0.00527769133805365
"offense_personnel_1 RB, 1 TE, 3 WR",0.004800578956566978
"defense_personnel_5 DL, 1 LB, 5 DB",0.0034894511198798927
"defense_personnel_1 DL, 5 LB, 5 DB",0.0034125133879623908
"defense_personnel_2 DL, 3 LB, 6 DB",0.0032883310046557947
"defense_personnel_4 DL, 2 LB, 5 DB",0.003249374265895749
"defense_personnel_4 DL, 1 LB, 6 DB",0.0029403014484945082
"offense_personnel_1 RB, 2 TE, 2 WR",0.0027203351766201846
"defense_personnel_4 DL, 3 LB, 4 DB",0.002549173966317646
"defense_personnel_2 DL, 4 LB, 5 DB",0.002299697476729148
"defense_personnel_2 CB, 1 DE, 2 DT, 1 FS, 2 MLB, 1 NT, 1 OLB, 1 SS",0.002044042948924725
"defense_personnel_3 DL, 2 LB, 6 DB",0.0018872083369799314
"defense_personnel_3 CB, 2 DE, 1 FS, 2 MLB, 1 NT, 1 OLB, 1 SS",0.0017811529480344817
"defense_personnel_1 DL, 4 LB, 6 DB",0.0015981359947468967
"offense_personnel_1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",0.0015074142246400534
"defense_personnel_3 CB, 2 DE, 1 DT, 1 FS, 1 ILB, 1 NT, 1 OLB, 1 SS",0.0014144888385945352
"defense_personnel_3 DL, 3 LB, 5 DB",0.0012618055487760027
"offense_personnel_1 C, 3 G, 1 QB, 1 RB, 1 T, 1 TE, 3 WR",0.0012578064937099093
"offense_personnel_6 OL, 1 RB, 2 TE, 1 WR",0.0012307117848365324
"offense_personnel_1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",0.001227283321896174
"offense_personnel_2 RB, 1 TE, 2 WR",0.0011231577452789126
"defense_personnel_5 DL, 2 LB, 4 DB",0.0010839234697817078
"defense_personnel_3 CB, 1 DT, 1 FS, 2 ILB, 1 NT, 2 OLB, 1 SS",0.0009825723090430406
"defense_personnel_6 DL, 2 LB, 3 DB",0.0009519586838810254
"offense_personnel_1 RB, 3 TE, 1 WR",0.0009469772240421734
"defense_personnel_3 CB, 2 DE, 1 DT, 1 FS, 2 ILB, 1 OLB, 1 SS",0.0009073887252615564
"offense_personnel_1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",0.0009050724389353692
"offense_personnel_1 RB, 0 TE, 4 WR",0.0008852544060218248
"offense_personnel_2 RB, 2 TE, 1 WR",0.000869530630556912
"defense_personnel_2 CB, 1 DE, 1 DT, 1 FS, 1 ILB, 1 NT, 2 OLB, 2 SS",0.000799156543882458
"defense_personnel_3 CB, 2 DE, 2 DT, 1 FS, 2 ILB, 1 SS",0.0007748720509144785
"offense_personnel_6 OL, 1 RB, 1 TE, 2 WR",0.0006827698548243985
"defense_personnel_4 DL, 4 LB, 3 DB",0.00064886920197361
"defense_personnel_3 CB, 2 DE, 2 DT, 1 FS, 2 OLB, 1 SS",0.0006174569316871909
"offense_personnel_1 C, 1 FB, 2 G, 1 QB, 2 T, 1 TE, 3 WR",0.0006154177111056966
"offense_personnel_0 RB, 1 TE, 4 WR",0.0006026532877993304
"offense_personnel_2 C, 1 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",0.0006017185430718987
"defense_personnel_3 CB, 1 DE, 1 DT, 1 FS, 2 MLB, 1 NT, 1 OLB, 1 SS",0.0005946150979073849
"offense_personnel_3 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",0.0005861642117179985
"defense_personnel_2 CB, 1 DE, 1 DT, 1 FS, 1 ILB, 3 OLB, 2 SS",0.0005846682047331312
"defense_personnel_2 CB, 1 DE, 1 DT, 1 FS, 2 ILB, 2 OLB, 2 SS",0.0005845733192433184
"defense_personnel_3 CB, 2 DE, 2 DT, 2 FS, 2 ILB",0.0005432622575075327
"defense_personnel_3 CB, 2 DE, 2 DT, 2 FS, 1 MLB, 1 OLB",0.0005424857795527207
"defense_personnel_3 CB, 2 DE, 1 FS, 2 ILB, 2 OLB, 1 SS",0.0005215543226733845
"defense_personnel_3 CB, 3 DE, 1 DT, 2 FS, 1 MLB, 1 OLB",0.0005128833041481871
"defense_personnel_3 CB, 2 DE, 1 FS, 2 ILB, 1 NT, 1 OLB, 1 SS",0.0004956849964217203
"offense_personnel_6 OL, 2 RB, 1 TE, 1 WR",0.0004908555492739095
"defense_personnel_3 CB, 1 DE, 2 DT, 1 FS, 1 ILB, 2 OLB, 1 SS",0.0004890749137172803
"defense_personnel_3 CB, 2 DE, 2 DT, 2 FS, 2 OLB",0.00047347849159259616
"defense_personnel_3 CB, 1 DT, 1 FS, 1 ILB, 3 OLB, 2 SS",0.0004664663160717581
"defense_personnel_4 CB, 3 DE, 1 DT, 1 FS, 1 ILB, 1 SS",0.00042266997252908583
"offense_personnel_0 RB, 2 TE, 3 WR",0.0004152225714075438
"defense_personnel_3 CB, 2 DE, 2 DT, 1 FS, 1 MLB, 1 OLB, 1 SS",0.00040828635363504567
"defense_personnel_2 CB, 2 DE, 2 DT, 2 FS, 1 MLB, 2 OLB",0.0004058714915427984
"defense_personnel_2 CB, 2 DE, 2 DT, 1 FS, 2 ILB, 1 OLB, 1 SS",0.00038917474283709267
"defense_personnel_2 CB, 2 DE, 1 FS, 2 ILB, 1 NT, 2 OLB, 1 SS",0.00038816867284035856
"defense_personnel_2 CB, 2 DE, 2 FS, 2 ILB, 1 NT, 1 OLB, 1 SS",0.000387597036779544
"defense_personnel_3 CB, 1 DE, 2 DT, 1 FS, 2 ILB, 1 OLB, 1 SS",0.0003875393766671892
"defense_personnel_2 CB, 2 DE, 3 DT, 1 FS, 1 MLB, 1 OLB, 1 SS",0.00038580940297162767
"defense_personnel_3 CB, 1 DE, 1 FS, 2 ILB, 1 NT, 2 OLB, 1 SS",0.00036937584666698475
"defense_personnel_2 CB, 1 DT, 2 FS, 1 ILB, 1 NT, 2 OLB, 2 SS",0.00036217720951929323
"defense_personnel_3 CB, 1 DE, 2 ILB, 1 NT, 2 OLB, 2 SS",0.0003584067949470511
"offense_personnel_6 OL, 2 RB, 2 TE, 0 WR",0.000355974947315561
"defense_personnel_2 CB, 2 DE, 1 DT, 1 FS, 1 ILB, 2 OLB, 2 SS",0.00035224527352437524
"defense_personnel_3 CB, 2 DE, 2 DT, 1 FS, 2 MLB, 1 SS",0.0003508378317091544
"defense_personnel_3 CB, 1 DE, 1 DT, 1 FS, 2 ILB, 1 NT, 1 OLB, 1 SS",0.00034805826811213476
"offense_personnel_2 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",0.0003472127573944426
"defense_personnel_4 CB, 2 DE, 2 DT, 1 FS, 1 OLB, 1 SS",0.0003417770627149263
"defense_personnel_4 CB, 2 DE, 1 DT, 1 FS, 1 MLB, 1 OLB, 1 SS",0.0003411813934148556
"defense_personnel_6 DL, 4 LB, 1 DB",0.0003337673472914175
"defense_personnel_4 CB, 1 DE, 1 DT, 2 FS, 1 ILB, 2 OLB",0.000319543345367777
"defense_personnel_3 CB, 1 FS, 1 ILB, 4 OLB, 2 SS",0.00031932519714780884
"defense_personnel_3 DL, 5 LB, 3 DB",0.00030349436898486867
"defense_personnel_2 CB, 1 DE, 1 DT, 1 FS, 2 MLB, 2 NT, 1 OLB, 1 SS",0.00030345740637650605
"defense_personnel_2 CB, 2 DE, 2 DT, 2 FS, 2 ILB, 1 OLB",0.0002992309293935651
"offense_personnel_1 C, 2 G, 1 QB, 1 RB, 2 T, 3 TE, 1 WR",0.00029285606244998857
"defense_personnel_2 CB, 2 DE, 2 FS, 2 ILB, 1 NT, 2 OLB",0.0002870166599205417
"defense_personnel_4 CB, 2 DT, 1 ILB, 2 OLB, 2 SS",0.00028174495604307376
"offense_personnel_2 RB, 0 TE, 3 WR",0.0002780958767314517
"defense_personnel_3 CB, 3 DE, 1 DT, 2 ILB, 2 SS",0.00027533699534379463
"offense_personnel_1 C, 1 FB, 3 G, 1 QB, 1 T, 1 TE, 3 WR",0.0002743841306425576
"defense_personnel_3 CB, 1 DE, 1 DT, 1 FS, 1 ILB, 3 OLB, 1 SS",0.0002725920230101413
"defense_personnel_3 CB, 2 DE, 1 FS, 1 ILB, 1 NT, 2 OLB, 1 SS",0.0002716939418392598
"defense_personnel_3 CB, 2 FS, 1 ILB, 3 OLB, 2 SS",0.0002705625989996459
"defense_personnel_3 CB, 1 DE, 2 FS, 2 ILB, 2 NT, 1 OLB",0.00026733519604021217
"offense_personnel_1 C, 1 G, 1 QB, 1 RB, 3 T, 2 TE, 2 WR",0.0002629526518112361
"defense_personnel_3 CB, 2 DE, 2 DT, 1 FS, 1 ILB, 1 OLB, 1 SS",0.00026053840237290544
"defense_personnel_2 DL, 5 LB, 4 DB",0.0002545572844452498
"defense_personnel_2 DL, 2 LB, 7 DB",0.0002494573510767751
"offense_personnel_2 RB, 3 TE, 0 WR",0.00024724265267830404
"defense_personnel_3 CB, 2 DE, 2 DT, 2 ILB, 2 SS",0.000242983147395926
"offense_personnel_1 C, 1 FB, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 1 WR",0.00024269223510852217
"defense_personnel_2 CB, 1 DE, 1 FS, 2 ILB, 1 NT, 2 OLB, 2 SS",0.0002417398449043207
"offense_personnel_1 C, 1 FB, 3 G, 1 QB, 1 RB, 1 T, 1 TE, 2 WR",0.00023979500021288028
"offense_personnel_1 C, 2 G, 1 QB, 1 RB, 3 T, 1 TE, 2 WR",0.00023349255992379035
